element(Xx), add_orb(addor), add(adde), remove_orb(remor), remove(remne), R1(NR1), R2(NR2), NN
H  1s 0.67 1s 0.9999 1 10 50
He 1s 0.67 1s 1 1 10 50
Li 2p 0.42 2p 1 1 10 50
Be 2p 0.42 2p 1 1 10 50
B  2p 0.57 2p 1 1 10 50
C  2p 0.67 2p 1 1 10 50
N  2p 0.67 2p 1 1 10 50
O  2p 0.67 2p 1 1 10 50
F  2p 0.67 2p 1 1 10 50
Ne 2p 0.67 2p 1 1 10 50
Na 3s 0.67 3s 1 1 10 50
Mg 3s 0.67 3s 1 1 10 50
Al 3p 0.67 3p 1 1 10 50
Si 3p 0.67 3p 1 1 10 50
P  3p 0.67 3p 1 1 10 50
S  3p 0.67 3p 1 1 10 50
Cl 3p 0.67 3p 1 1 10 50
Ar 3p 0.67 3p 1 1 10 50
K  4s 0.67 4s 1 1 10 50
Ca 4s 0.67 4s 1 1 10 50
Sc 3d 0.67 3d 1 1 10 50
Ti 3d 0.67 3d 1 1 10 50
V  3d 0.67 3d 1 1 10 50
Cr 3d 0.67 3d 1 1 10 50
Mn 3d 0.67 3d 1 1 10 50
Fe 3d 0.67 3d 1 1 10 50
Co 3d 0.67 3d 1 1 10 50
Ni 3d 0.67 3d 1 1 10 50
Cu 4s 0.67 4s 1 1 10 50
Zn 4s 0.67 4s 1 1 10 50
Ga 4p 0.67 4p 1 1 10 50
Ge 4p 0.67 4p 1 1 10 50
As 4p 0.67 4p 1 1 10 50
Se 4p 0.67 4p 1 1 10 50
Br 4p 0.67 4p 1 1 10 50
Kr 4p 0.67 4p 1 1 10 50
Rb 5s 0.67 5s 1 1 10 50
Sr 5s 0.67 5s 1 1 10 50
Y  4d 0.67 4d 1 1 10 50
Zr 4d 0.67 4d 1 1 10 50
Nb 4d 0.67 4d 1 1 10 50
Mo 4d 0.67 4d 1 1 10 50
Tc 4d 0.67 4d 1 1 10 50
Ru 4d 0.67 4d 1 1 10 50
Pd 4d 0.67 4d 1 1 10 50
Ag 5s 0.67 5s 1 1 10 50
Cd 5s 0.67 5s 1 1 10 50
In 5p 0.67 5p 1 1 10 50
Sn 5p 0.67 5p 1 1 10 50
Sb 5p 0.67 5p 1 1 10 50
Te 5p 0.67 5p 1 1 10 50
I  5p 0.67 5p 1 1 10 50
Xe 5p 0.67 5p 1 1 10 50
Cs 6s 0.67 6s 1 1 10 50
Ba 6s 0.67 6s 1 1 10 50
La 5d 0.67 5d 1 1 10 50
Hf 5d 0.67 5d 1 1 10 50
Ta 5d 0.67 5d 1 1 10 50
W  5d 0.67 5d 1 1 10 50
Re 5d 0.67 5d 1 1 10 50
Os 5d 0.67 5d 1 1 10 50
Ir 5d 0.67 5d 1 1 10 50
Pt 5d 0.67 5d 1 1 10 50
Au 6s 0.67 6s 1 1 10 50
Hg 6s 0.67 6s 1 1 10 50
Tl 6p 0.67 6p 1 1 10 50
Pb 6p 0.67 6p 1 1 10 50
Bi 6p 0.67 6p 1 1 10 50
